"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,94,NA,NA,18,NA,NA,65,NA,NA,11,NA,NA
2021-06-30,121,NA,NA,36,NA,NA,65,NA,NA,20,NA,NA
2021-09-30,119,NA,NA,35,NA,NA,71,NA,NA,13,NA,NA
2021-12-31,84,NA,NA,14,NA,NA,58,NA,NA,12,NA,NA
2022-03-31,85,NA,NA,23,NA,NA,48,NA,NA,14,NA,NA
2022-06-30,57,NA,NA,20,NA,NA,19,NA,NA,18,NA,NA
2022-09-30,75,NA,NA,23,NA,NA,34,NA,NA,18,NA,NA
2022-12-31,176,NA,NA,33,NA,NA,78,NA,NA,65,NA,NA
2023-03-31,220,NA,NA,32,NA,NA,82,NA,NA,106,NA,NA
2023-06-30,158,NA,NA,12,NA,NA,35,NA,NA,111,NA,NA
2023-09-30,734,NA,NA,124,NA,NA,267,NA,NA,343,NA,NA
2023-12-31,2923,NA,NA,557,NA,NA,1447,NA,NA,919,NA,NA
2024-03-31,1953,NA,NA,345,NA,NA,1237,NA,NA,371,NA,NA
2024-06-30,1460,NA,NA,188,NA,NA,1081,NA,NA,191,NA,NA
2024-09-30,511,NA,NA,64,NA,NA,356,NA,NA,91,NA,NA
2024-12-31,822,NA,NA,145,NA,NA,563,NA,NA,114,NA,NA
2025-03-31,1056,NA,NA,178,NA,NA,753,NA,NA,125,NA,NA
2025-06-30,1755,1755,1755,366,366,366,1389,1389,1389,0,0,0
2025-09-30,NA,2923,511,NA,609.582905982906,106.567521367521,NA,2313.41709401709,404.432478632479,NA,0,0
2025-12-30,NA,2603.87002863902,511,NA,543.029305117882,106.567521367521,NA,2060.84072352114,404.432478632479,NA,0,0
2026-03-30,NA,1269,511,NA,264.646153846154,106.567521367521,NA,1004.35384615385,404.432478632479,NA,0,0
2026-06-30,NA,1269,511,NA,264.646153846154,106.567521367521,NA,1004.35384615385,404.432478632479,NA,0,0
2026-09-30,NA,1269,511,NA,264.646153846154,106.567521367521,NA,1004.35384615385,404.432478632479,NA,0,0
