"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,11,NA,NA,6,NA,NA,0,NA,NA,5,NA,NA
2021-06-30,9,NA,NA,8,NA,NA,1,NA,NA,0,NA,NA
2021-09-30,12,NA,NA,9,NA,NA,1,NA,NA,2,NA,NA
2021-12-31,11,NA,NA,8,NA,NA,1,NA,NA,2,NA,NA
2022-03-31,10,NA,NA,6,NA,NA,0,NA,NA,4,NA,NA
2022-06-30,13,NA,NA,9,NA,NA,1,NA,NA,3,NA,NA
2022-09-30,24,NA,NA,12,NA,NA,0,NA,NA,12,NA,NA
2022-12-31,13,NA,NA,6,NA,NA,1,NA,NA,6,NA,NA
2023-03-31,18,NA,NA,7,NA,NA,1,NA,NA,10,NA,NA
2023-06-30,34,NA,NA,22,NA,NA,1,NA,NA,11,NA,NA
2023-09-30,31,NA,NA,20,NA,NA,0,NA,NA,11,NA,NA
2023-12-31,121,NA,NA,91,NA,NA,10,NA,NA,20,NA,NA
2024-03-31,91,NA,NA,70,NA,NA,11,NA,NA,10,NA,NA
2024-06-30,39,NA,NA,15,NA,NA,11,NA,NA,13,NA,NA
2024-09-30,65,NA,NA,35,NA,NA,9,NA,NA,21,NA,NA
2024-12-31,85,NA,NA,56,NA,NA,14,NA,NA,15,NA,NA
2025-03-31,65,NA,NA,39,NA,NA,18,NA,NA,8,NA,NA
2025-06-30,33,33,33,22,22,22,11,11,11,0,0,0
2025-09-30,NA,86.8756070227867,31,NA,57.9170713485245,20.6666666666667,NA,28.9585356742622,10.3333333333333,NA,0,0
2025-12-30,NA,56,31,NA,37.3333333333333,20.6666666666667,NA,18.6666666666667,10.3333333333333,NA,0,0
2026-03-30,NA,56,31,NA,37.3333333333333,20.6666666666667,NA,18.6666666666667,10.3333333333333,NA,0,0
2026-06-30,NA,56,31,NA,37.3333333333333,20.6666666666667,NA,18.6666666666667,10.3333333333333,NA,0,0
2026-09-30,NA,56,31,NA,37.3333333333333,20.6666666666667,NA,18.6666666666667,10.3333333333333,NA,0,0
