"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,25,NA,NA,9,NA,NA,13,NA,NA,3,NA,NA
2021-06-30,18,NA,NA,5,NA,NA,9,NA,NA,4,NA,NA
2021-09-30,11,NA,NA,7,NA,NA,3,NA,NA,1,NA,NA
2021-12-31,6,NA,NA,1,NA,NA,3,NA,NA,2,NA,NA
2022-03-31,7,NA,NA,2,NA,NA,2,NA,NA,3,NA,NA
2022-06-30,19,NA,NA,5,NA,NA,8,NA,NA,6,NA,NA
2022-09-30,23,NA,NA,12,NA,NA,8,NA,NA,3,NA,NA
2022-12-31,31,NA,NA,6,NA,NA,22,NA,NA,3,NA,NA
2023-03-31,26,NA,NA,2,NA,NA,11,NA,NA,13,NA,NA
2023-06-30,23,NA,NA,2,NA,NA,12,NA,NA,9,NA,NA
2023-09-30,54,NA,NA,15,NA,NA,29,NA,NA,10,NA,NA
2023-12-31,343,NA,NA,28,NA,NA,254,NA,NA,61,NA,NA
2024-03-31,112,NA,NA,8,NA,NA,83,NA,NA,21,NA,NA
2024-06-30,73,NA,NA,4,NA,NA,56,NA,NA,13,NA,NA
2024-09-30,14,NA,NA,3,NA,NA,4,NA,NA,7,NA,NA
2024-12-31,54,NA,NA,21,NA,NA,27,NA,NA,6,NA,NA
2025-03-31,81,NA,NA,19,NA,NA,47,NA,NA,15,NA,NA
2025-06-30,105,105,105,32,32,32,73,73,73,0,0,0
2025-09-30,NA,182,14,NA,55.4666666666667,4.26666666666667,NA,126.533333333333,9.73333333333333,NA,0,0
2025-12-30,NA,97,14,NA,29.5619047619048,4.26666666666667,NA,67.4380952380952,9.73333333333333,NA,0,0
2026-03-30,NA,97,14,NA,29.5619047619048,4.26666666666667,NA,67.4380952380952,9.73333333333333,NA,0,0
2026-06-30,NA,97,14,NA,29.5619047619048,4.26666666666667,NA,67.4380952380952,9.73333333333333,NA,0,0
2026-09-30,NA,97,14,NA,29.5619047619048,4.26666666666667,NA,67.4380952380952,9.73333333333333,NA,0,0
