"date","total_decisions","total_decisions_upper","total_decisions_lower","positive_decisions","positive_decisions_upper","positive_decisions_lower","negative_decisions","negative_decisions_upper","negative_decisions_lower","withdraw_decisions","withdraw_decisions_upper","withdraw_decisions_lower"
2021-03-31,34,NA,NA,11,NA,NA,16,NA,NA,7,NA,NA
2021-06-30,38,NA,NA,22,NA,NA,14,NA,NA,2,NA,NA
2021-09-30,36,NA,NA,13,NA,NA,19,NA,NA,4,NA,NA
2021-12-31,25,NA,NA,6,NA,NA,17,NA,NA,2,NA,NA
2022-03-31,32,NA,NA,5,NA,NA,9,NA,NA,18,NA,NA
2022-06-30,38,NA,NA,9,NA,NA,7,NA,NA,22,NA,NA
2022-09-30,76,NA,NA,23,NA,NA,31,NA,NA,22,NA,NA
2022-12-31,77,NA,NA,35,NA,NA,29,NA,NA,13,NA,NA
2023-03-31,69,NA,NA,21,NA,NA,14,NA,NA,34,NA,NA
2023-06-30,140,NA,NA,10,NA,NA,17,NA,NA,113,NA,NA
2023-09-30,472,NA,NA,46,NA,NA,269,NA,NA,157,NA,NA
2023-12-31,225,NA,NA,42,NA,NA,84,NA,NA,99,NA,NA
2024-03-31,539,NA,NA,58,NA,NA,296,NA,NA,185,NA,NA
2024-06-30,184,NA,NA,11,NA,NA,137,NA,NA,36,NA,NA
2024-09-30,74,NA,NA,10,NA,NA,38,NA,NA,26,NA,NA
2024-12-31,411,NA,NA,59,NA,NA,251,NA,NA,101,NA,NA
2025-03-31,401,NA,NA,74,NA,NA,244,NA,NA,83,NA,NA
2025-06-30,196,196,196,53,53,53,143,143,143,0,0,0
2025-09-30,NA,539,74,NA,145.75,20.0102040816327,NA,393.25,53.9897959183673,NA,0,0
2025-12-30,NA,416.107860854323,74,NA,112.518962373873,20.0102040816327,NA,303.58889848045,53.9897959183673,NA,0,0
2026-03-30,NA,362,74,NA,97.8877551020408,20.0102040816327,NA,264.112244897959,53.9897959183673,NA,0,0
2026-06-30,NA,362,74,NA,97.8877551020408,20.0102040816327,NA,264.112244897959,53.9897959183673,NA,0,0
2026-09-30,NA,362,74,NA,97.8877551020408,20.0102040816327,NA,264.112244897959,53.9897959183673,NA,0,0
